央视,#genre#

CCTV4K超高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV1高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV1HK版高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV2高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV3高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV4高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV5高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV5+高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV6高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV7高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV8高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV9高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV10高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV11高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV12高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV13高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV14高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV15高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV16高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CCTV17高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CGTN高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CGTN纪录高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CGTN法语高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CGTN俄语高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CGTN阿拉伯语高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
CGTN西班牙语高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
北京卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
湖南卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
浙江卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
江苏卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
东方卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
安徽卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
黑龙江卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
辽宁卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
深圳卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
广东卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
天津卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
湖北卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
山东卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
重庆卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
金鹰纪实高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
福建东南卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
四川卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
河北卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
江西卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
河南卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
广西卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
吉林卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
中国教育电视台1高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
海南卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
贵州卫视高清,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
翡翠台(第1声道繁体),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
翡翠台(第2声道简体),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
翡翠台海外版(粤语繁体),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
翡翠台海外版(普通话简体),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
J2,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
J2(第2声道),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
无线新闻台,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
无线新闻台(第2声道),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
明珠台,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
明珠台(第2声道),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
无线财经资讯台,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
无线财经资讯台(第2声道),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
无线财经资讯台海外版,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
ViuTV,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
ViuTV(第2声道),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
ViuTV6,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
RTHK31,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
RTHK32,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
凤凰资讯,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
凤凰中文,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
凤凰电影,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
HK国际财经台,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
HK开电视,http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
美亚电影台(粤语),http://zm.tdddz.cn:9901/tsfile/live/0001_1.m3u8
