测试,#genre#

IP归属地: 河北省石家庄市联通
CCTV1综合,http://121.29.191.187:8000/hls/1/index.m3u8
CCTV2财经,http://121.29.191.187:8000/hls/2/index.m3u8
CCTV3综艺,http://121.29.191.187:8000/hls/3/index.m3u8
CCTV4国际,http://121.29.191.187:8000/hls/4/index.m3u8
CCTV5体育,http://121.29.191.187:8000/hls/5/index.m3u8
CCTV6电影,http://121.29.191.187:8000/hls/6/index.m3u8
CCTV7国防军事,http://121.29.191.187:8000/hls/7/index.m3u8
CCTV8电视剧,http://121.29.191.187:8000/hls/8/index.m3u8
CCTV9记录,http://121.29.191.187:8000/hls/9/index.m3u8
CCTV10科教,http://121.29.191.187:8000/hls/10/index.m3u8
CCTV11戏曲,http://121.29.191.187:8000/hls/11/index.m3u8
CCTV12社会与法,http://121.29.191.187:8000/hls/12/index.m3u8
CCTV13新闻,http://121.29.191.187:8000/hls/13/index.m3u8
CCTV14少儿,http://121.29.191.187:8000/hls/14/index.m3u8
CCTV15音乐,http://121.29.191.187:8000/hls/15/index.m3u8
河北卫视,http://121.29.191.187:8000/hls/16/index.m3u8
湖南卫视,http://121.29.191.187:8000/hls/17/index.m3u8
天津卫视,http://121.29.191.187:8000/hls/20/index.m3u8
深圳卫视,http://121.29.191.187:8000/hls/21/index.m3u8
山东卫视,http://121.29.191.187:8000/hls/22/index.m3u8
广东卫视,http://121.29.191.187:8000/hls/23/index.m3u8
浙江卫视,http://121.29.191.187:8000/hls/24/index.m3u8
黑龙江卫视,http://121.29.191.187:8000/hls/25/index.m3u8
辽宁卫视,http://121.29.191.187:8000/hls/26/index.m3u8
安徽卫视,http://121.29.191.187:8000/hls/27/index.m3u8
湖北卫视,http://121.29.191.187:8000/hls/28/index.m3u8
四川卫视,http://121.29.191.187:8000/hls/29/index.m3u8
东方卫视,http://121.29.191.187:8000/hls/30/index.m3u8
江西卫视,http://121.29.191.187:8000/hls/31/index.m3u8
重庆卫视,http://121.29.191.187:8000/hls/32/index.m3u8
东南卫视,http://121.29.191.187:8000/hls/33/index.m3u8
广西卫视,http://121.29.191.187:8000/hls/34/index.m3u8
吉林卫视,http://121.29.191.187:8000/hls/35/index.m3u8
陕西卫视,http://121.29.191.187:8000/hls/36/index.m3u8
山西卫视,http://121.29.191.187:8000/hls/37/index.m3u8
内蒙古卫视,http://121.29.191.187:8000/hls/38/index.m3u8
青海卫视,http://121.29.191.187:8000/hls/39/index.m3u8
海南卫视,http://121.29.191.187:8000/hls/40/index.m3u8
河北杂技,http://121.29.191.187:8000/hls/41/index.m3u8
北京冬奥,http://121.29.191.187:8000/hls/42/index.m3u8
北京少儿,http://121.29.191.187:8000/hls/43/index.m3u8
宁夏卫视,http://121.29.191.187:8000/hls/44/index.m3u8
西藏卫视,http://121.29.191.187:8000/hls/45/index.m3u8
新疆卫视,http://121.29.191.187:8000/hls/46/index.m3u8
甘肃卫视,http://121.29.191.187:8000/hls/47/index.m3u8
旅游卫视,http://121.29.191.187:8000/hls/48/index.m3u8
云南卫视,http://121.29.191.187:8000/hls/50/index.m3u8
晋州综合,http://121.29.191.187:8000/hls/64/index.m3u8
